"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 25 18:20:33 GMT 2021","Wed Aug 25 18:20:42 GMT 2021","8847","testproject","test_timesheet","","","","test_timesheet2",""
"passed","Wed Aug 25 18:20:29 GMT 2021","Wed Aug 25 18:20:33 GMT 2021","3742","testproject","test_timesheet","","","","test_timesheet1",""
"broken","Wed Aug 25 18:20:29 GMT 2021","Wed Aug 25 18:20:29 GMT 2021","3","testproject","test_hogwards","","","","test_hogwarts",""
